Indicator_Name,Unit,Baseline_Year,Baseline_Value,Latest_Year,Latest_Value,Target_Year,Target_Value,Education_Level,Region,Total_Pop,Not_Literate_Count,Literacy_Rate,Context_ID,Context_Name,Context_Description,Implementation_Gap,Year
"Enhanced Teacher Deployment, Quality improvement and Efficient Use of Resources",% of Districts with appropriate PTR at Primary (30 < = PTR = <40),2019,24.1,2022,45,2026,100,Management and Administration,Western,1764583,483403,72.61,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,55,2026
"Enhanced Teacher Deployment, Quality improvement and Efficient Use of Resources",% of Districts with appropriate PTR at Primary (30 < = PTR = <40),2019,24.1,2022,45,2026,100,Management and Administration,Central,2452182,607309,75.23,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,55,2026
"Enhanced Teacher Deployment, Quality improvement and Efficient Use of Resources",% of Districts with appropriate PTR at Primary (30 < = PTR = <40),2019,24.1,2022,45,2026,100,Management and Administration,Greater Accra,4766249,575253,87.93,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,55,2026
"Enhanced Teacher Deployment, Quality improvement and Efficient Use of Resources",% of Districts with appropriate PTR at Primary (30 < = PTR = <40),2019,24.1,2022,45,2026,100,Management and Administration,Volta,1433518,416834,70.92,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,55,2026
"Enhanced Teacher Deployment, Quality improvement and Efficient Use of Resources",% of Districts with appropriate PTR at Primary (30 < = PTR = <40),2019,24.1,2022,45,2026,100,Management and Administration,Eastern,2526584,614412,75.68,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,55,2026
"Enhanced Teacher Deployment, Quality improvement and Efficient Use of Resources",% of Districts with appropriate PTR at Primary (30 < = PTR = <40),2019,24.1,2022,45,2026,100,Management and Administration,Ashanti,4657976,1024866,78,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,55,2026
"Enhanced Teacher Deployment, Quality improvement and Efficient Use of Resources",% of Districts with appropriate PTR at Primary (30 < = PTR = <40),2019,24.1,2022,45,2026,100,Management and Administration,Western North,749168,278554,62.82,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,55,2026
"Enhanced Teacher Deployment, Quality improvement and Efficient Use of Resources",% of Districts with appropriate PTR at Primary (30 < = PTR = <40),2019,24.1,2022,45,2026,100,Management and Administration,Ahafo,480708,151082,68.57,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,55,2026
"Enhanced Teacher Deployment, Quality improvement and Efficient Use of Resources",% of Districts with appropriate PTR at Primary (30 < = PTR = <40),2019,24.1,2022,45,2026,100,Management and Administration,Bono,1036053,295287,71.5,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,55,2026
"Enhanced Teacher Deployment, Quality improvement and Efficient Use of Resources",% of Districts with appropriate PTR at Primary (30 < = PTR = <40),2019,24.1,2022,45,2026,100,Management and Administration,Bono East,1002548,437682,56.34,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,55,2026
"Enhanced Teacher Deployment, Quality improvement and Efficient Use of Resources",% of Districts with appropriate PTR at Primary (30 < = PTR = <40),2019,24.1,2022,45,2026,100,Management and Administration,Oti,616851,304749,50.6,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,55,2026
